candidate_id,label,label_source,label_confidence,label_note
a_2011-04-18T1100_111312_18,positive,manual,medium,
a_2011-04-18T1100_111449_18,positive,manual_disagreement_review,medium,inside 04-18 episode between confirmed 111312/111626; falling chain; Te=47 ne/ni=1.51 beta=0.002 tailward; group=2011-04-18
a_2011-04-18T1100_111803_19,positive,manual,medium,
a_2011-04-18T1100_112117_19,positive,auto_rule,high,
a_2011-04-18T1100_112254_19,positive,manual_disagreement_review,low,mid-episode sandwiched by positives 112117/112431 at episode energy; full stack Te=155 ne/ni=1.65; prom=0.22 soft; group=2011-04-18
a_2011-04-18T1100_112608_21,positive,manual,medium,
a_2011-04-18T1100_112922_21,positive,manual,medium,
a_2011-04-18T1100_113059_20,positive,manual_promoted_review,high,
a_2011-05-15T0900_100026_10,negative,manual_disagreement_review,medium,ne/ni=0.86; earthward; all-negative day
a_2011-05-16T0500_071247_21,,,,"borderline permanent: incomplete stack, amplitude at threshold, no chain evidence"
a_2011-05-16T0500_071424_21,negative,manual_promoted_review,high,weak ne_ni=0.45 flux_z=2.6
a_2011-05-27T0900_090553_12,negative,manual_promoted_review,high,boundary beam Te=606 ne_ni=0.78
a_2011-05-27T0900_101348_21,negative,manual_disagreement_review,medium,single-spin; ne/ni=0.73
a_2011-06-18T0600_064544_14,negative,manual_promoted_review,high,
a_2011-07-01T1000_105805_22,negative,manual_disagreement_review,medium,single-spin; ne/ni=0.68
a_2012-06-14T0900_092230_11,negative,manual_promoted_review,high,
a_2012-06-14T0900_093212_12,,,,"borderline 2026-07-30: modest anti 1 keV, off-lobe warm"
a_2012-06-30T0600_063702_21,positive,manual_promoted_review,high,
a_2012-06-30T0600_063839_21,positive,auto_rule,high,
a_2012-06-30T0600_064016_22,positive,manual,medium,
a_2012-06-30T0600_064153_21,positive,manual,medium,
a_2012-06-30T0600_064330_23,positive,manual_promoted_review,medium,E_b near instrument floor
a_2012-06-30T0600_064958_22,positive,manual_promoted_review,medium,Eb/dE=1.7 broad
a_2012-06-30T0600_065940_20,,,,10min post-episode at episode energy; full cold stack (Te=54 ne/ni=1.55) but dur=1 and no chain to parent
a_2012-06-30T0600_071059_22,negative,manual_disagreement_review,medium,lineless Eb/dE~1.0; cold stack does not rescue
a_2012-06-30T0800_084130_6,negative,manual_disagreement_review,high,psbl_boundary_beam; earthward; prom=0.34
a_2012-06-30T0800_084444_20,,,,ramp member of 0841-0908 chain ending in confirmed beams; cold stack (ne/ni=1.88 Te=63) but dur=1 Eb/dE=1.57
a_2012-06-30T0800_084935_22,negative,manual_disagreement_review,medium,single-spin; ne/ni=1.16 Te=183; Eb/dE=1.38; 15min from confirmed 0904 cluster
a_2012-06-30T0800_085603_6,negative,manual_disagreement_review,high,psbl; earthward keV broad; different population from cold 0904 cluster (bin 6 vs 23-24)
a_2012-06-30T0900_094610_6,negative,manual_disagreement_review,high,psbl_boundary_beam; earthward; Te=727; distinct from 06:xx cold cluster
a_2012-07-04T0800_090705_15,negative,manual_promoted_review,high,"psbl_boundary_beam, warm anti 454 eV, ne_ni=0.86 Te=466"
